,Entry,Protein,Protein name,Gene names,Gene names (primary),yourlist
3721,P01721,LV657,Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT),IGLV6-57,IGLV6-57,"A0A075B6I2,P06319"
3722,P06396,GELS,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),GSN,GSN,P06396
3723,P06400,RB,Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110),RB1,RB1,P06400
3724,P06454,PTMA,"Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha-1]",PTMA TMSA,PTMA,P06454
3725,P06493,CDK1,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),CDK1 CDC2 CDC28A CDKN1 P34CDC2,CDK1,P06493
3726,P06576,ATPB,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",ATP5F1B ATP5B ATPMB ATPSB,ATP5F1B,P06576
3727,P06702,S10A9,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),S100A9 CAGB CFAG MRP14,S100A9,P06702
3728,P06703,S10A6,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),S100A6 CACY,S100A6,P06703
3729,P06727,APOA4,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,APOA4,P06727
3730,P06730,IF4E,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),EIF4E EIF4EL1 EIF4F,EIF4E,P06730
3731,P06732,KCRM,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),CKM CKMM,CKM,P06732
3732,P06733,ENOA,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,ENO1,P06733
3733,P06737,PYGL,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,PYGL,P06737
3734,P06744,G6PI,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),GPI,GPI,P06744
3735,P06746,DPOLB,DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-),POLB,POLB,P06746
3736,P06748,NPM,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),NPM1 NPM,NPM1,P06748
3737,P06753,TPM3,Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5),TPM3,TPM3,P06753
3738,P06756,ITAV,Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain],ITGAV MSK8 VNRA VTNR,ITGAV,P06756
3739,P06850,CRF,Corticoliberin (Corticotropin-releasing factor) (CRF) (Corticotropin-releasing hormone),CRH,CRH,P06850
3740,P06865,HEXA,Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha),HEXA,HEXA,P06865
3741,P01715,LV301,Immunoglobulin lambda variable 3-1 (Ig lambda chain V-IV region Bau) (Ig lambda chain V-IV region MOL) (Ig lambda chain V-IV region X),IGLV3-1,IGLV3-1,P06889
3742,P06899,H2B1J,Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r),H2BC11 H2BFR HIST1H2BJ,H2BC11,P06899
3743,P07093,GDN,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2),SERPINE2 PI7 PN1,SERPINE2,P07093
3744,P07099,HYEP,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH),EPHX1 EPHX EPOX,EPHX1,P07099
3745,P07101,TY3H,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),TH TYH,TH,P07101
3746,P07108,ACBP,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),DBI,DBI,P07108
3747,P07148,FABPL,"Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)",FABP1 FABPL,FABP1,P07148
3748,P07195,LDHB,L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46),LDHB,LDHB,P07195
3749,P07196,NFL,Neurofilament light polypeptide (NF-L) (68 kDa neurofilament protein) (Neurofilament triplet L protein),NEFL NF68 NFL,NEFL,P07196
3750,P07197,NFM,Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein),NEFM NEF3 NFM,NEFM,P07197
3751,P07203,GPX1,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase),GPX1,GPX1,P07203
3752,P07205,PGK2,"Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)",PGK2 PGKB,PGK2,P07205
3753,P07225,PROS,Vitamin K-dependent protein S,PROS1 PROS,PROS1,P07225
3754,P07237,PDIA1,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),P4HB ERBA2L PDI PDIA1 PO4DB,P4HB,P07237
3755,P07305,H10,"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]",H1-0 H1F0 H1FV,H1-0,P07305
3756,P07311,ACYP1,"Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)",ACYP1 ACYPE,ACYP1,P07311
3757,P07320,CRGD,Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 4),CRYGD CRYG4,CRYGD,P07320
3758,P07327,ADH1A,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),ADH1A ADH1,ADH1A,P07327
3759,P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),CSF1R FMS,CSF1R,P07333
3760,P07339,CATD,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,CTSD,P07339
3761,P07355,ANXA2,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),ANXA2 ANX2 ANX2L4 CAL1H LPC2D,ANXA2,P07355
3762,P07357,CO8A,Complement component C8 alpha chain (Complement component 8 subunit alpha),C8A,C8A,P07357
3763,P07358,CO8B,Complement component C8 beta chain (Complement component 8 subunit beta),C8B,C8B,P07358
3764,P07360,CO8G,Complement component C8 gamma chain,C8G,C8G,P07360
3765,P07384,CAN1,Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP),CAPN1 CANPL1 PIG30,CAPN1,P07384
3766,P07437,TBB5,Tubulin beta chain (Tubulin beta-5 chain),TUBB TUBB5 OK/SW-cl.56,TUBB,P07437
3767,P07438,MT1B,Metallothionein-1B (MT-1B) (Metallothionein-IB) (MT-IB),MT1B MT1Q,MT1B,P07438
3768,P07451,CAH3,Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III),CA3,CA3,P07451
3769,P07477,TRY1,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],PRSS1 TRP1 TRY1 TRYP1,PRSS1,P07477
3770,P07585,PGS2,Decorin (Bone proteoglycan II) (PG-S2) (PG40),DCN SLRR1B,DCN,P07585
3771,P07602,SAP,Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)],PSAP GLBA SAP1,PSAP,P07602
3772,P07686,HEXB,Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A],HEXB HCC7,HEXB,P07686
3773,P07711,CATL1,Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain],CTSL CTSL1,CTSL,P07711
3774,P07737,PROF1,Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I),PFN1,PFN1,P07737
3775,P07738,PMGE,"Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)",BPGM,BPGM,P07738
3776,P07741,APT,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),APRT,APRT,P07741
3777,P07744,K2C4_MOUSE,"Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Cytoskeletal 57 kDa keratin) (Keratin-4) (K4) (Type-II keratin Kb4)",Krt4 Krt2-4,Krt4,P07744
3778,P07814,SYEP,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],EPRS1 EPRS GLNS PARS QARS QPRS PIG32,EPRS1,P07814
3779,P07858,CATB,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],CTSB CPSB,CTSB,P07858
3780,P07864,LDHC,L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X),LDHC LDH3 LDHX,LDHC,P07864
3781,P07900,HS90A,Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38),HSP90AA1 HSP90A HSPC1 HSPCA,HSP90AA1,P07900
3782,P07902,GALT,Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase),GALT,GALT,P07902
3783,P07910,HNRPC,Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2),HNRNPC HNRPC,HNRNPC,P07910
3784,P07919,QCR6,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",UQCRH,UQCRH,P07919
3785,P07942,LAMB1,Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta),LAMB1,LAMB1,P07942
3786,P07947,YES,Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),YES1 YES,YES1,P07947
3787,P07948,LYN,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),LYN JTK8,LYN,P07948
3788,P07951,TPM2,Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2),TPM2 TMSB,TPM2,P07951
3789,P07954,FUMH,"Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)",FH,FH,P07954
3790,P07992,ERCC1,DNA excision repair protein ERCC-1,ERCC1,ERCC1,P07992
3791,P07996,TSP1,Thrombospondin-1 (Glycoprotein G),THBS1 TSP TSP1,THBS1,P07996
3792,P07998,RNAS1,Ribonuclease pancreatic (EC 4.6.1.18) (HP-RNase) (RIB-1) (RNase UpI-1) (Ribonuclease 1) (RNase 1) (Ribonuclease A) (RNase A),RNASE1 RIB1 RNS1,RNASE1,P07998
3793,P08069,IGF1R,Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain],IGF1R,IGF1R,P08069
3794,P0DMV9,HS71B,Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2),HSPA1B HSP72,HSPA1B,P08107
3795,P08123,CO1A2,Collagen alpha-2(I) chain (Alpha-2 type I collagen),COL1A2,COL1A2,P08123
3796,P08133,ANXA6,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),ANXA6 ANX6,ANXA6,P08133
3797,P08134,RHOC,Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9),RHOC ARH9 ARHC,RHOC,P08134
3798,P08138,TNR16,Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271),NGFR TNFRSF16,NGFR,P08138
3799,P08173,ACM4,Muscarinic acetylcholine receptor M4,CHRM4,CHRM4,P08173
3800,P08174,DAF,Complement decay-accelerating factor (CD antigen CD55),CD55 CR DAF,CD55,P08174
3801,P08183,MDR1,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243),ABCB1 MDR1 PGY1,ABCB1,P08183
3802,P08185,CBG,Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),SERPINA6 CBG,SERPINA6,P08185
3803,P08195,4F2,4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98),SLC3A2 MDU1,SLC3A2,P08195
3804,P08236,BGLR,Beta-glucuronidase (EC 3.2.1.31) (Beta-G1),GUSB,GUSB,P08236
3805,P08237,PFKAM,"ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)",PFKM PFKX,PFKM,P08237
3806,P08238,HS90B,Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84),HSP90AB1 HSP90B HSPC2 HSPCB,HSP90AB1,P08238
3807,P08240,SRPRA,Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha),SRPRA SRPR,SRPRA,P08240
3808,P08243,ASNS,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase),ASNS TS11,ASNS,P08243
3809,P08246,ELNE,Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase),ELANE ELA2,ELANE,P08246
3810,P08247,SYPH,Synaptophysin (Major synaptic vesicle protein p38),SYP,SYP,P08247
3811,P08294,SODE,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1),SOD3,SOD3,P08294
3812,P08311,CATG,"Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]",CTSG,CTSG,P08311
3813,P08397,HEM3,Porphobilinogen deaminase (PBG-D) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),HMBS PBGD UPS,HMBS,P08397
3814,P08493,MGP,Matrix Gla protein (MGP) (Cell growth-inhibiting gene 36 protein),MGP MGLAP GIG36,MGP,P08493
3815,P08519,APOA,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,LPA,P08519
3816,P08559,ODPA,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",PDHA1 PHE1A,PDHA1,P08559
3817,P08567,PLEK,Pleckstrin (Platelet 47 kDa protein) (p47),PLEK P47,PLEK,P08567
3818,P08571,CD14,"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]",CD14,CD14,P08571
3819,P08572,CO4A2,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],COL4A2,COL4A2,P08572
3820,P08574,CY1,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,CYC1,P08574
3821,P08575,PTPRC,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),PTPRC CD45,PTPRC,P08575
3822,P08579,RU2B,U2 small nuclear ribonucleoprotein B'' (U2 snRNP B''),SNRPB2,SNRPB2,P08579
3823,P08581,MET,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),MET,MET,P08581
3824,P08582,TRFM,Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228),MELTF MAP97 MFI2,MELTF,P08582
3825,P08590,MYL3,"Myosin light chain 3 (Cardiac myosin light chain 1) (CMLC1) (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB) (Ventricular myosin alkali light chain) (Ventricular myosin light chain 1) (VLCl) (Ventricular/slow twitch myosin alkali light chain) (MLC-lV/sb)",MYL3,MYL3,P08590
3826,P08603,CFAH,Complement factor H (H factor 1),CFH HF HF1 HF2,CFH,P08603
3827,P08621,RU17,U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70),SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,SNRNP70,P08621
3828,P08631,HCK,Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck),HCK,HCK,P08631
3829,P08648,ITA5,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain],ITGA5 FNRA,ITGA5,P08648
3830,P08651,NFIC,Nuclear factor 1 C-type (NF1-C) (Nuclear factor 1/C) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/C) (NF-I/C) (NFI-C) (TGGCA-binding protein),NFIC NFI,NFIC,P08651
3831,P08670,VIME,Vimentin,VIM,VIM,P08670
3832,P08697,A2AP,Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),SERPINF2 AAP PLI,SERPINF2,P08697
3833,P08727,K1C19,"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)",KRT19,KRT19,P08727
3834,P08729,K2C7,"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)",KRT7 SCL,KRT7,P08729
3835,P08754,GNAI3,Guanine nucleotide-binding protein G(i) subunit alpha-3 (G(i) alpha-3),GNAI3,GNAI3,P08754
3836,P08758,ANXA5,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),ANXA5 ANX5 ENX2 PP4,ANXA5,P08758
3837,P08779,K1C16,"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)",KRT16 KRT16A,KRT16,P08779
3838,P08842,STS,Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Estrone sulfatase) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase),STS ARSC1,STS,P08842
3839,P08865,RSSA,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2),RPSA LAMBR LAMR1,RPSA,P08865
3840,P08908,5HT1A,5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A),HTR1A ADRB2RL1 ADRBRL1,HTR1A,P08908
3841,P08913,ADA2A,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),ADRA2A ADRA2R ADRAR,ADRA2A,P08913
3842,P08962,CD63,CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Lysosome integral membrane protein 1) (Limp1) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63),CD63 MLA1 TSPAN30,CD63,P08962
3843,P09001,RM03,"39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3) (Mitochondrial large ribosomal subunit protein uL3m)",MRPL3 MRL3 RPML3,MRPL3,P09001
3844,P09012,SNRPA,U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A),SNRPA,SNRPA,P09012
3845,P09038,FGF2,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),FGF2 FGFB,FGF2,P09038
3846,P09104,ENOG,Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE),ENO2,ENO2,P09104
3847,P09105,HBAT,Hemoglobin subunit theta-1 (Hemoglobin theta-1 chain) (Theta-1-globin),HBQ1,HBQ1,P09105
3848,P09110,THIK,"3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)",ACAA1 ACAA PTHIO,ACAA1,P09110
3849,P09131,P3,P3 protein (Solute carrier family 10 member 3),SLC10A3 DXS253E P3,SLC10A3,P09131
3850,P09132,SRP19,Signal recognition particle 19 kDa protein (SRP19),SRP19,SRP19,P09132
3851,P09211,GSTP1,Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1),GSTP1 FAEES3 GST3,GSTP1,P09211
3852,P09228,CYTT,Cystatin-SA (Cystatin-2) (Cystatin-S5),CST2,CST2,P09228
3853,P09234,RU1C,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C),SNRPC,SNRPC,P09234
3854,P09382,LEG1,Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1),LGALS1,LGALS1,P09382
3855,P09417,DHPR,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1),QDPR DHPR SDR33C1,QDPR,P09417
3856,P09429,HMGB1,High mobility group protein B1 (High mobility group protein 1) (HMG-1),HMGB1 HMG1,HMGB1,P09429
3857,P09455,RET1,Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I),RBP1 CRBP1,RBP1,P09455
3858,P09467,F16P1,"Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)",FBP1 FBP,FBP1,P09467
3859,P09471,GNAO,Guanine nucleotide-binding protein G(o) subunit alpha,GNAO1,GNAO1,P09471
3860,P09486,SPRC,SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine),SPARC ON,SPARC,P09486
3861,P09488,GSTM1,Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4),GSTM1 GST1,GSTM1,P09488
3862,P09493,TPM1,Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1),TPM1 C15orf13 TMSA,TPM1,P09493
3863,P09496,CLCA,Clathrin light chain A (Lca),CLTA,CLTA,P09496
3864,P09497,CLCB,Clathrin light chain B (Lcb),CLTB,CLTB,P09497
